Url,"Classe de ressource",Titre,Créateur,Sujet,Editeur,Contributeur,Date,Type,Format,Identifiant,Source,Langue,Relation,Droits,"Importance matérielle",Support,"Est remplacé par","Est une partie de","Couverture spatiale","Couverture temporelle","Droits d’accès","Citation bibliographique",Licence,"Méthode pédagogique","Périodicité des entrées",ISBN,Issn
https://octaviana.fr/s/octaviana/item/177852,,"Département des études arabes","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1234,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1234,,
https://octaviana.fr/s/octaviana/item/177851,,"Département d'études italiennes","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1233,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1233,,
https://octaviana.fr/s/octaviana/item/177850,,"Département documentation : formation HCS, 1er cycle","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1232,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1232,,
https://octaviana.fr/s/octaviana/item/177849,,"Département documentation : 2ème cycle","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1231,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1231,,
https://octaviana.fr/s/octaviana/item/177848,,"U.F.R. Arts, philosophie, esthétique : arts plastiques, cinéma, musique, théâtre, 1er cycle","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1230,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1230,,
https://octaviana.fr/s/octaviana/item/177847,,"U.F.R. Arts, philosophie, esthétique : formation arts du spectacle mention études théâtrales","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1229,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1229,,
https://octaviana.fr/s/octaviana/item/177846,,"Institut d'études européennes : annuaire des enseignements","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1228,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1228,,
https://octaviana.fr/s/octaviana/item/177845,,"Département documentation : formation Éducation communication langage (ECLa), 1er cycle","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1227,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1227,,
https://octaviana.fr/s/octaviana/item/177844,,"Institut Maghreb-Europe : DEA ""Sociétés contemporaines du Maghreb""","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1226,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1226,,
https://octaviana.fr/s/octaviana/item/177843,,"U.F.R. Psychologie, pratiques cliniques et sociales : 1er et 2ème cycle","Université paris 8","Université de Paris VIII -- histoire",,,1997-1998,"Primary Source Document",application/pdf,FVNP1225,"Paris 8",fre,,,,Numérisé,,FVNP,,"XXe siècle","Accessible à tous·tes",,"Toute reproduction même partielle est interdite sans accord exprès de(s) l'auteur(s) ou ayant-droit(s)",,FVNP1225,,
